,city-cn,lat,lng
217,Algha-Kazakhstan,49.9032,57.335
218,Embi-Kazakhstan,48.8268,58.1442
219,Ushtobe-Kazakhstan,45.2653,77.97
220,Burylbaytal-Kazakhstan,44.9387,74.0303
221,Zhanibek-Kazakhstan,49.4276,46.8772
222,Esil-Kazakhstan,51.957,66.3775
223,Derzhavinsk-Kazakhstan,51.1021,66.3075
224,Saryshaghan-Kazakhstan,46.1195,73.6191
225,Turgay-Kazakhstan,49.626,63.499
226,Sarqan-Kazakhstan,45.4203,79.9149
227,Arqalyq-Kazakhstan,50.2418,66.8976
228,Shalqar-Kazakhstan,47.8363,59.6141
229,Shieli-Kazakhstan,44.167,66.75
230,Bayghanin-Kazakhstan,48.6917,55.874
231,Zhezqazghan-Kazakhstan,47.78,67.77
232,Mangyshlak-Kazakhstan,43.6905,51.1417
233,Zhosaly-Kazakhstan,45.4877,64.078
234,Beyneu-Kazakhstan,45.1834,55.1
235,Qazaly-Kazakhstan,45.7628,62.1075
236,Aral-Kazakhstan,46.8,61.6666
237,Ayakoz-Kazakhstan,47.9647,80.4297
238,Urzhar-Kazakhstan,47.1002,81.6048
239,Qapshaghay-Kazakhstan,43.8844,77.0687
240,Esik-Kazakhstan,43.3691,77.4438
241,Qaratau-Kazakhstan,43.1854,70.46
242,Sharbaqty-Kazakhstan,52.4999,78.1499
243,Oostanay-Kazakhstan,53.2209,63.6283
244,Kachiry-Kazakhstan,53.0804,76.09
245,Kishkenekol-Kazakhstan,53.6368,72.3414
246,Bulaevo-Kazakhstan,54.9053,70.44
247,Shonzhy-Kazakhstan,43.5421,79.4703
248,Qyzylorda-Kazakhstan,44.8,65.465
249,Qaraghandy-Kazakhstan,49.885,73.115
250,Ertis-Kazakhstan,53.3453,75.4499
251,Tayynsha-Kazakhstan,53.8481,69.7638
252,Qulan-Kazakhstan,42.9204,72.705
253,Shu-Kazakhstan,43.5953,73.7448
254,Kentau-Kazakhstan,43.5165,68.5199
255,Oskemen-Kazakhstan,49.99,82.6149
256,Aqtau-Kazakhstan,43.6232,51.2365
257,Taldyqorghan-Kazakhstan,45.0,78.4
258,Astana-Kazakhstan,51.1811,71.4278
259,Aqtobe-Kazakhstan,50.28,57.17
260,Kokshetau-Kazakhstan,53.3,69.42
261,Petropavlovsk-Kazakhstan,54.88,69.22
262,Pavlodar-Kazakhstan,52.3,76.95
263,Otar-Kazakhstan,43.5346,75.2139
264,Almaty-Kazakhstan,43.325,76.915
265,Bestobe-Kazakhstan,52.4997,73.0997
266,Arys-Kazakhstan,42.4369,68.8048
267,Lenger-Kazakhstan,42.1899,69.8799
268,Aqsu-Kazakhstan,52.4502,71.9597
269,Temirtau-Kazakhstan,50.065,72.965
270,Makinsk-Kazakhstan,52.6404,70.41
271,Osakarovka-Kazakhstan,50.5799,72.5699
272,Qarqaraly-Kazakhstan,49.4249,75.4649
273,Ekibastuz-Kazakhstan,51.73,75.3199
274,Zyryanovsk-Kazakhstan,49.7453,84.2548
275,Komsomolets-Kazakhstan,53.7506,62.0502
276,Baykonur-Kazakhstan,45.6914,63.2413
277,Erymentau-Kazakhstan,51.6303,73.1049
278,Qarazhal-Kazakhstan,48.0253,70.7999
279,Tobol-Kazakhstan,52.698,62.5749
280,Shar-Kazakhstan,49.6003,81.0549
281,Semey-Kazakhstan,50.435,80.275
282,Boralday-Kazakhstan,43.3341,76.8288
283,Zhetiqara-Kazakhstan,52.193,61.2399
284,Aqadyr-Kazakhstan,48.2749,72.8599
285,Zharkent-Kazakhstan,44.1616,79.9801
286,Qulsary-Kazakhstan,46.9833,54.0165
287,Balyqshy-Kazakhstan,47.0666,51.8666
288,Atyrau-Kazakhstan,47.1127,51.92
289,Shymkent-Kazakhstan,42.32,69.595
290,Turkistan-Kazakhstan,43.3016,68.2549
291,Xiangkhoang-Laos,19.3337,103.3666
292,Muang Phonsavan-Laos,19.45,103.2167
293,Vientiane-Laos,17.9667,102.6
294,Ban Houayxay-Laos,20.2775,100.4128
295,Muang Phon-Hong-Laos,18.4957,102.4142
296,Louang Namtha-Laos,20.95,101.4167
297,Phongsali-Laos,21.6833,102.1
298,Thakhek-Laos,17.4112,104.8361
299,Muang Pakxan-Laos,18.3826,103.6586
300,Louangphrabang-Laos,19.8845,102.1416
301,Xaignabouri-Laos,19.2505,101.7501
302,Savannakhet-Laos,16.5376,104.773
303,Lamam-Laos,15.4171,106.6946
304,Pakxe-Laos,15.1221,105.8183
305,Attapu-Laos,14.808,106.839
306,Xam Nua-Laos,20.4167,104.0333
307,Muang Xai-Laos,20.6923,101.9847
308,Saravan-Laos,15.716,106.427
309,Champasak-Laos,14.8833,105.8667
310,Beirut-Lebanon,33.872,35.5097
311,Zahle-Lebanon,33.8501,35.9042
312,Baalbek-Lebanon,34.0058,36.2181
313,B'abda-Lebanon,33.8333,35.5333
314,Halba-Lebanon,34.5428,36.0797
315,Saida-Lebanon,33.563,35.3688
316,Nabatiye et Tahta-Lebanon,33.3833,35.45
317,Trablous-Lebanon,34.42,35.87
318,Castries-Saint Lucia,14.002,-61.0
319,Gamprin-Liechtenstein,47.2197,9.5113
320,Triesenberg-Liechtenstein,47.1182,9.5444
321,Schaan-Liechtenstein,47.1661,9.5096
322,Ruggell-Liechtenstein,47.2408,9.5247
323,Mauren-Liechtenstein,47.2205,9.5426
324,Eschen-Liechtenstein,47.2109,9.5216
325,Triesen-Liechtenstein,47.1101,9.524
326,Balzers-Liechtenstein,47.0667,9.5025
327,Vaduz-Liechtenstein,47.1337,9.5167
328,Planken-Liechtenstein,47.1844,9.5436
329,Schellenberg-Liechtenstein,47.2325,9.5463
330,Colombo-Sri Lanka,6.932,79.8578
331,Ratnapura-Sri Lanka,6.693,80.386
332,Matara-Sri Lanka,5.949,80.5428
333,Sri Jawewardenepura Kotte-Sri Lanka,6.9,79.95
334,Moratuwa-Sri Lanka,6.7804,79.88
335,Anuradhapura-Sri Lanka,8.35,80.3833
336,Galle-Sri Lanka,6.03,80.24
337,Puttalan-Sri Lanka,8.033,79.826
338,Kandy-Sri Lanka,7.28,80.67
339,Badulla-Sri Lanka,6.9837,81.0499
340,Trincomalee-Sri Lanka,8.569,81.233
341,Kilinochchi-Sri Lanka,9.4004,80.3999
342,Batticaloa-Sri Lanka,7.717,81.7
343,Jaffna-Sri Lanka,9.675,80.005
344,Bopolu-Liberia,7.0667,-10.4875
345,Voinjama-Liberia,8.4167,-9.75
346,Robertsport-Liberia,6.7533,-11.3686
347,Buchanan-Liberia,5.9161,-10.0525
348,Monrovia-Liberia,6.3106,-10.8048
349,Tubmanburg-Liberia,6.8706,-10.8211
350,Buchanan-Liberia,5.8811,-10.0447
351,Zwedru-Liberia,6.0704,-8.13
352,Barclayville-Liberia,4.8,-8.1667
353,Rivercess-Liberia,5.465,-9.578
354,Fish Town-Liberia,5.1974,-7.8758
355,Gbarnga-Liberia,7.0104,-9.49
356,Kakata-Liberia,6.526,-10.349
357,Sanniquellie-Liberia,7.371,-8.685
358,Greenville-Liberia,5.0111,-9.0388
359,Bensonville-Liberia,6.4333,-10.6
360,Harper-Liberia,4.3754,-7.717
361,Maseru-Lesotho,-29.3167,27.4833
362,Mokhotlong-Lesotho,-29.291,29.078
363,Thaba-Tseka-Lesotho,-29.522,28.6084
364,Moyeni-Lesotho,-30.411,27.716
365,Qacha's Nek-Lesotho,-30.1154,28.6894
366,Mafetang-Lesotho,-29.8166,27.25
367,Hlotse-Lesotho,-28.878,28.056
368,Teyateyaneng-Lesotho,-29.153,27.753
369,Mohales Hoek-Lesotho,-30.159,27.48
370,Butha-Buthe-Lesotho,-28.75,28.25
371,Klaipeda-Lithuania,55.7204,21.1199
372,Palanga-Lithuania,55.9203,21.071
373,Nida-Lithuania,55.3086,20.9965
374,Kretinga-Lithuania,55.8888,21.2445
375,Taurage-Lithuania,55.2522,22.2897
376,Silute-Lithuania,55.3453,21.4733
377,Rietavas-Lithuania,55.7271,21.9234
378,Plunge-Lithuania,55.9077,21.8456
379,Silale-Lithuania,55.4898,22.1869
380,Visaginas-Lithuania,55.5968,26.4398
381,Zarasai-Lithuania,55.7322,26.2512
382,Ignalina-Lithuania,55.3406,26.1605
383,Utena-Lithuania,55.4976,25.5992
384,Svencionys-Lithuania,55.133,26.1595
385,Rokiskis-Lithuania,55.9587,25.5947
386,Moletai-Lithuania,55.2247,25.4169
387,Salcininkai-Lithuania,54.3086,25.3868
388,Vilnius-Lithuania,54.6834,25.3166
389,Kupiskis-Lithuania,55.8401,24.9803
390,Trakai-Lithuania,54.6399,24.936
391,Birzai-Lithuania,56.1986,24.7521
392,Anyksciai-Lithuania,55.5246,25.1066
393,Telsiai-Lithuania,55.9831,22.2343
394,Kelme-Lithuania,55.6301,22.9349
395,Marijampole-Lithuania,54.5599,23.3541
396,Lazdijai-Lithuania,54.2333,23.5147
397,Sakiai-Lithuania,54.9534,23.0478
398,Radviliskis-Lithuania,55.8111,23.5411
399,Siauliai-Lithuania,55.9386,23.325
400,Birstonas-Lithuania,54.6048,24.0311
401,Druskininkai-Lithuania,54.0157,23.987
402,Kedainiai-Lithuania,55.2878,23.9727
403,Alytus-Lithuania,54.3964,24.0414
404,Prienai-Lithuania,54.636,23.9458
405,Elektrenai-Lithuania,54.7863,24.6626
406,Kaunas-Lithuania,54.9504,23.88
407,Jonava-Lithuania,55.0801,24.2754
408,Kaisiadorys-Lithuania,54.8653,24.4682
409,Panevezys-Lithuania,55.74,24.37
410,Joniskis-Lithuania,56.2394,23.6154
411,Kazlu Ruda-Lithuania,54.7497,23.495
412,Vilkaviskis-Lithuania,54.648,23.0305
413,Pasvalys-Lithuania,56.0625,24.3997
414,Pakruojis-Lithuania,55.9789,23.8551
415,Raseiniai-Lithuania,55.3797,23.1239
416,Pagegiai-Lithuania,55.1379,21.9138
417,Jurbarkas-Lithuania,55.0756,22.7642
418,Kalvarija-Lithuania,54.4172,23.2283
419,Sirvintos-Lithuania,55.044,24.9545
420,Skuodas-Lithuania,56.2706,21.5321
421,Mazeikiai-Lithuania,56.3122,22.3265
422,Akmene-Lithuania,56.25,22.75
423,Ukmerge-Lithuania,55.2494,24.7636
424,Varena-Lithuania,54.2155,24.5754
425,Capellen-Luxembourg,49.645,5.9908
426,Esch-sur-Alzette-Luxembourg,49.4958,5.9806
